k;p;tp;tn;fp;fn
1;1;197;253;17;34
2;1;183;262;8;48
3;1;208;255;15;23
4;1;204;259;11;27
5;1;212;256;14;19
6;1;207;257;13;24
7;1;214;256;14;17
8;1;211;256;14;20
9;1;212;255;15;19
10;1;212;255;15;19
11;1;215;255;15;16
12;1;214;255;15;17
13;1;216;255;15;15
14;1;216;255;15;15
15;1;216;255;15;15
16;1;216;255;15;15
17;1;216;255;15;15
18;1;216;255;15;15
19;1;216;255;15;15
20;1;215;255;15;16
21;1;215;255;15;16
22;1;214;255;15;17
23;1;214;255;15;17
24;1;214;255;15;17
25;1;214;255;15;17
26;1;213;255;15;18
27;1;213;255;15;18
28;1;212;255;15;19
29;1;213;255;15;18
30;1;213;255;15;18
31;1;213;255;15;18
32;1;212;255;15;19
33;1;212;255;15;19
34;1;212;255;15;19
35;1;212;255;15;19
36;1;212;255;15;19
37;1;212;255;15;19
38;1;212;256;14;19
39;1;212;255;15;19
40;1;212;256;14;19
41;1;212;256;14;19
42;1;212;256;14;19
43;1;212;256;14;19
44;1;212;257;13;19
45;1;212;257;13;19
46;1;212;258;12;19
47;1;212;257;13;19
48;1;212;259;11;19
49;1;212;258;12;19
50;1;212;258;12;19
51;1;212;258;12;19
52;1;212;259;11;19
53;1;212;259;11;19
54;1;212;259;11;19
55;1;212;259;11;19
56;1;210;260;10;21
57;1;211;260;10;20
58;1;210;260;10;21
59;1;210;260;10;21
60;1;210;260;10;21
61;1;210;260;10;21
62;1;209;261;9;22
63;1;209;261;9;22
64;1;209;261;9;22
65;1;209;261;9;22
66;1;209;261;9;22
67;1;209;261;9;22
68;1;208;261;9;23
69;1;208;261;9;23
70;1;206;261;9;25
71;1;207;261;9;24
72;1;206;261;9;25
73;1;206;261;9;25
74;1;205;261;9;26
75;1;206;261;9;25
76;1;204;261;9;27
77;1;205;261;9;26
78;1;204;261;9;27
79;1;205;261;9;26
80;1;202;261;9;29
81;1;203;261;9;28
82;1;201;261;9;30
83;1;202;261;9;29
84;1;202;261;9;29
85;1;202;261;9;29
86;1;200;261;9;31
87;1;201;261;9;30
88;1;199;262;8;32
89;1;201;262;8;30
90;1;198;262;8;33
91;1;201;261;9;30
92;1;198;261;9;33
