k;p;tp;tn;fp;fn
1;1;208;248;23;22
2;1;198;256;15;32
3;1;211;252;19;19
4;1;206;255;16;24
5;1;211;253;18;19
6;1;210;253;18;20
7;1;214;250;21;16
8;1;214;251;20;16
9;1;217;251;20;13
10;1;217;251;20;13
11;1;219;251;20;11
12;1;215;251;20;15
13;1;219;250;21;11
14;1;218;250;21;12
15;1;218;249;22;12
16;1;218;249;22;12
17;1;218;249;22;12
18;1;218;249;22;12
19;1;218;249;22;12
20;1;218;250;21;12
21;1;218;249;22;12
22;1;218;250;21;12
23;1;218;249;22;12
24;1;217;250;21;13
25;1;219;250;21;11
26;1;217;250;21;13
27;1;218;249;22;12
28;1;215;249;22;15
29;1;217;249;22;13
30;1;214;251;20;16
31;1;215;250;21;15
32;1;214;251;20;16
33;1;217;250;21;13
34;1;214;251;20;16
35;1;215;250;21;15
36;1;214;250;21;16
37;1;216;250;21;14
