tempo;entrada;saida
22,9;3,5;4,1869
23;3,5;4,088
23,1;3,5;4,095
23,2;3,5;4,0892
23,3;3,5;3,8646
23,4;3,5;4,0782
23,5;3,5;4,2403
23,6;3,5;4,0892
23,7;3,5;4,0596
23,8;3,5;4,0929
23,9;3,5;4,0552
24;3,5;4,0681
24,1;3,5;4,0987
24,2;3,5;4,088
24,3;3,5;4,099
24,4;3,5;4,0941
24,5;3,5;4,1817
24,6;3,5;5
24,7;3,5;4,1008
24,8;3,5;4,1197
24,9;3,5;4,095
25;3,5;4,0788
25,1;3,5;3,8789
25,2;3,5;4,0088
25,3;3,5;4,01
25,4;3,5;4,095
25,5;3,5;4,1173
25,6;3,5;4,5201
25,7;3,5;4,5467
25,8;3,5;4,1039
25,9;3,5;4,084
26;3,5;3,9903
26,1;3,5;3,7657
26,2;3,5;4,1016
26,3;3,5;4,0941
26,4;3,5;4,1905
26,5;3,5;4,7911
26,6;3,5;4,0991
26,7;3,5;4,0991
26,8;3,5;4,1075
26,9;3,5;3,1383
27;3,5;4,0904
27,1;3,5;4,0977
27,2;3,5;3,9244
27,3;3,5;4,1136
27,4;3,5;4,0923
27,5;3,5;4,1051
27,6;3,5;3,9575
27,7;3,5;4,1077
27,8;3,5;3,9867
27,9;3,5;4,1014
28;3,5;4,0926
28,1;3,5;4,1016
28,2;3,5;4,0919
28,3;3,5;4,0529
28,4;3,5;3,9037
28,5;3,5;4,0889
28,6;3,5;4,1014
28,7;3,5;4,0843
28,8;3,5;3,7328
28,9;3,5;4,0894
29;3,5;4,0977
29,1;3,5;4,0147
29,2;3,5;4,0904
29,3;3,5;4,0776
29,4;3,5;4,0965
29,5;3,5;4,2439
29,6;3,5;4,8364
29,7;3,5;4,1173
29,8;3,5;4,1075
29,9;3,5;4,1039
30;3,5;4,1014
